MLS#,Price,Date
170357537,1533915,2021-03
170357537,1539371,2021-04
170357537,1539410,2021-05
170357537,1539800,2021-06
170357537,1535500,2021-07
170357537,1531400,2021-08
170357537,1540000,2021-09
170357537,1518200,2021-10
170357537,1531600,2021-11
170357537,1568000,2023-02
170357537,1565400,2023-03
170357537,1547300,2023-09
170357537,1546800,2023-10
170357537,1543200,2023-11
170357537,1535600,2023-12
170357537,1524600,2024-01
170357537,1517300,2024-02
170357537,1520000,2024-03
170357537,1513900,2024-04
24007883,132588,2014-04
24007883,136265,2014-05
24007883,139103,2014-06
24007883,142170,2014-07
24007883,129610,2014-08
24007883,137005,2014-09
24007883,146466,2014-10
24007883,149465,2014-11
24007883,152692,2014-12
24007883,150620,2015-01
24007883,151379,2015-02
24007883,156415,2015-03
24007883,155502,2015-04
24007883,156137,2015-05
24007883,152767,2015-06
24007883,148875,2015-07
24007883,151036,2015-08
24007883,154474,2015-09
24007883,152583,2015-10
24007883,158656,2015-11
24007883,168313,2015-12
24007883,159017,2016-01
24007883,168777,2016-02
24007883,160806,2016-03
24007883,159463,2016-04
24007883,153221,2016-05
24007883,164776,2016-06
24007883,160996,2016-07
24007883,164095,2016-08
24007883,163976,2016-09
24007883,172664,2016-10
24007883,154607,2016-11
24007883,148176,2016-12
24007883,165681,2017-01
24007883,170408,2017-02
24007883,166050,2017-03
24007883,157100,2017-04
24007883,146282,2017-05
24007883,142860,2017-06
24007883,154134,2017-07
24007883,150644,2017-08
24007883,144230,2017-09
24007883,143201,2017-10
24007883,142561,2017-11
24007883,146463,2017-12
24007883,149749,2018-01
24007883,150309,2018-02
24007883,144692,2018-03
24007883,146156,2018-04
24007883,154952,2018-05
24007883,165483,2018-06
24007883,169958,2018-07
24007883,168324,2018-08
24007883,171886,2018-09
24007883,173934,2018-10
24007883,170579,2018-11
24007883,168231,2018-12
24007883,167313,2019-01
24007883,169337,2019-02
24007883,171498,2019-03
24007883,166558,2019-04
24007883,166142,2019-05
24007883,176450,2019-06
24007883,175382,2019-07
24007883,186610,2019-08
24007883,184127,2019-09
24007883,179538,2019-10
24007883,169485,2019-11
24007883,180177,2019-12
24007883,180775,2020-01
24007883,179890,2020-02
24007883,175752,2020-03
24007883,172298,2020-04
24007883,170520,2020-05
24007883,179444,2020-06
24007883,179480,2020-07
24007883,186050,2020-08
24007883,189706,2020-09
24007883,190737,2020-10
24007883,202027,2020-11
24007883,199580,2020-12
24007883,197039,2021-01
24007883,199801,2021-02
24007883,212470,2021-03
24007883,216251,2021-04
24007883,218208,2021-05
24007883,219100,2021-06
24007883,220200,2021-07
24007883,221900,2021-08
24007883,226600,2021-09
24007883,227400,2021-10
24007883,231500,2021-11
24007883,232900,2021-12
24007883,233500,2022-01
24007883,238500,2022-02
24007883,261600,2022-03
24007883,267200,2022-04
24007883,272100,2022-05
24007883,275100,2022-06
24007883,276200,2022-07
24007883,271300,2022-08
24007883,272500,2022-09
24007883,273900,2022-10
24007883,272300,2022-11
24007883,270200,2022-12
24007883,270100,2023-01
24007883,270300,2023-02
24007883,270800,2023-03
24007883,278300,2023-04
24007883,286700,2023-05
24007883,289400,2023-06
24007883,297000,2023-07
24007883,292600,2023-08
24007883,299500,2023-09
24007883,294700,2023-10
24007883,286300,2023-11
24007883,314500,2023-12
24007883,308600,2024-01
24007883,315200,2024-02
24007883,323100,2024-03
24007883,399800,2024-04
24007876,458400,2023-05
24007876,367800,2023-06
24007876,374800,2023-07
24007876,375400,2023-08
24007876,378100,2023-09
24007876,391100,2023-10
24007876,389700,2023-11
24007876,394800,2023-12
24007876,395500,2024-01
24007876,399600,2024-02
24007876,407300,2024-03
24007876,455700,2024-04
24001571,40269,2014-04
24001571,39950,2014-05
24001571,39694,2014-06
24001571,40001,2014-07
24001571,39831,2014-08
24001571,39480,2014-09
24001571,39766,2014-10
24001571,38601,2014-11
24001571,38688,2014-12
24001571,39592,2015-01
24001571,39792,2015-02
24001571,39629,2015-03
24001571,40147,2015-04
24001571,40603,2015-05
24001571,40824,2015-06
24001571,40504,2015-07
24001571,40225,2015-08
24001571,40252,2015-09
24001571,40177,2015-10
24001571,40251,2015-11
24001571,40575,2015-12
24001571,39400,2016-01
24001571,39896,2016-02
24001571,40486,2016-03
24001571,40015,2016-04
24001571,40521,2016-05
24001571,45985,2016-06
24001571,53475,2016-07
24001571,61469,2016-08
24001571,62415,2016-09
24001571,62050,2016-10
24001571,59211,2016-11
24001571,56173,2016-12
24001571,53746,2017-01
