Image,MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
https://smartmls-assets.cdn-connectmls.com/pics/DD94DEC9A4EEAE7EE053D501100AE043/HD_1651003018467_170357537_1.JPEG,170593796,8  Crest Pl.,Milford,ACTV - HUB,04/02/2024,,0.13,1728,1728,6,3,2/1,"2 Car Garage, Detached Garage, Paved, Off Street Parking",1928,226,"Basketball Court, Park, Playground/Tot Lot, Private Rec Facilities",314980,"Paved, Asphalt",660000,8558,R10,,,202,Yes,Annually,No,Joseph A. Foran,Per Board of Ed,"Basketball Court, Health Club, Medical Facilities, Park, Playground/Tot Lot, Shopping/Mall, Walk to Bus Lines",No,No,"L. I. Sound Frontage, Beach, Beach Rights, Walk to Water",01/31/2024,Central Air,"Gas on Gas, Hot Air",Natural Gas,,"Deck, Gutters, Patio, Porch",,,,
https://smartmls-assets.cdn-connectmls.com/pics/1545C6BE1729BC95E0631401100ACCF5/HD_1712243373702_DSC07724.JPEG,170597493,175  Cherry Hill Road Lot 3,Branford,ACTV,09/12/2023,,0.5,3000,3000,8,4,3/0,"3 Car Garage, Attached Garage",2023,209,,0,Paved,1089000,0,r4,,,,No,,No,Branford,Mary T. Murphy,"Basketball Court, Golf Course, Medical Facilities, Park, Public Rec Facilities, Tennis Courts",No,No,Not Applicable,09/12/2023,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/1535E17A7A6380E4E0631401100A956C/HD_1712175480736_1._Front.JPEG,170357537,"180  Park St. , Unit# 304",New Canaan,ACTV,12/01/2020,CO,,1236,1236,4,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1224,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Private Rec Facilities, Putting Green",798490,,1555000,15123,APT,,"Programmable Thermostat, Thermopane Windows",1086,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Tennis Courts",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk, Terrace",Saxe Middle,,,
https://smartmls-assets.cdn-connectmls.com/pics/1545C6BE1729BC95E0631401100ACCF5/HD_1712244133610_IMG_2601.JPEG,170599198,121  Pond Lily Ave.,New Haven,ACTV,03/31/2024,,0.16,2571,1661,5,3,1/0,"0 Car Garage, Driveway, Paved",1920,201,,139790,,285000,5200,RS2,,,,No,,No,Per Board of Ed,Per Board of Ed,"Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,03/14/2024,None,Hot Air,"Natural Gas, Oil",,Porch-Enclosed,,,,
https://smartmls-assets.cdn-connectmls.com/pics/12EEDFA4E3802630E063D501100AB63B/HD_1709666609737_54CE9F9C_46E3_403E_9221_99C0F1C855C0.JPEG,24007883,"295  Heritage Vlg. , Unit# A",Southbury,NEW,04/04/2024,CO,,1398,1398,5,2,2/0,"1 Car Garage, Detached Garage",1970,4,"Bocci Court, Pool, Tennis Courts",205630,,390000,4627,102:Condominium,,,719,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Park, Shopping/Mall",Yes,No,Not Applicable,,Central Air,Heat Pump,Electric,,,,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/156C08CCFDD62562E0631401100A4C6A/HD_1712420394158_DSC05228_final.jpg_SMALL.JPEG,170587697,44  Sachem Rd.,Weston,ACTV,03/21/2024,,2.56,7791,7791,14,5,5/2,"5 Car Garage, Attached Garage",2023,221,,9999999,,4499000,999999999,2 acre,,"Energy Star Rated, Home Energy Rating, Extra Insulation, Programmable Thermostat, Thermopane Windows",,No,,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Golf Course, Health Club, Library, Medical Facilities, Park, Shopping/Mall, Tennis Courts",No,No,Not Applicable,03/21/2024,"Central Air, Zoned","Hot Air, Radiant, Zoned",Propane,,"Gutters, Lighting, Covered Deck, Patio",,,,
https://smartmls-assets.cdn-connectmls.com/pics/0C4576885B382482E063D501100A79A9/HD_1702390063967_170613375_1.JPEG,24007876,"5  Foot Cir. , Unit# 5",Wallingford,NEW,04/03/2024,CO,,2355,1713,6,3,2/2,"1 Car Garage, Attached Garage",2001,5,,203700,,425000,5977,R18,,,80,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/F90247D5DC6DEB31E0531401100A7EB4/HD_1681170607271_170560408_1.JPEG,170598363,175  Cherry Hill Road Lot 10,Branford,ACTV,09/15/2023,,0.5,3000,3000,8,4,3/0,"3 Car Garage, Attached Garage",2023,206,,0,Paved,1089000,0,r4,,,,No,,No,Branford,Mary T. Murphy,"Basketball Court, Golf Course, Medical Facilities, Park, Public Rec Facilities, Tennis Courts",No,No,Not Applicable,09/15/2023,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/15391769C9B888E8E0631401100A5D8E/HD_1712235740283_1___2_Homestead_Lane_206.JPEG,24008100,"410  Farmington Ave. , Unit# J3",New Britain,NEW,04/04/2024,CO,,1024,1024,5,2,1/1,"1 Car Garage, 2 Total Spaces, Under House Garage, Unassigned Parking, Driveway",1986,4,,103180,,219900,3950,OP,,,275,Yes,Monthly,No,New Britain,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/154926B1C0EE2D29E0631401100AA074/HD_1712263026199_201C0BE8_68BA_43DE_A4E8_28E0DAA5DD20.JPEG,170604512,203  Lee Farm Dr.,Southbury,ACTV,10/15/2023,,0.06,968,968,4,2,1/0,"0 Car Garage, Unpaved",1929,175,,122740,,229000,2762,RES,,,0,No,,No,Pomperaug,Pomperaug,,No,Yes,Lake,12/09/2023,None,Hot Air,Oil,,,Rochambeau,,,
https://smartmls-assets.cdn-connectmls.com/pics/EADCCFC5024DE696E053D501100A13B5/HD_1665606885190_170527369_1.JPEG,24001571,"95  Middle Tpke. W., Unit# APT B4",Manchester,ACTV,03/05/2024,CO,,850,850,4,2,1/0,"1 Car Garage, Detached Garage",1939,35,,54000,,169900,2009,Residential,,,436,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,,,Window Unit,Hot Water,Oil,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/EADCCFC5024DE696E053D501100A13B5/HD_1665605049487_170527091_1.JPEG,170598845,33  Sentry Hill Rd.,Roxbury,ACTV,04/01/2024,,3.01,2716,2716,11,4,3/1,"2 Car Garage, Barn, Detached Garage",2002,112,,713650,,1575000,8992,C,,,,No,,No,Shepaug,Booth Free,,Yes,Yes,Brook,04/01/2024,Central Air,Hot Air,Oil,,,,"Gunite, Heated, In Ground Pool",,
https://smartmls-assets.cdn-connectmls.com/pics/1532BA89207973C4E0631401100A71AD/HD_1712163242019_IMG_7774.JPEG,24007788,"25  Grand St. , Unit# APT 127",Norwalk,NEW,04/05/2024,CO,,613,613,3,1,1/0,"0 Car Garage, 1 Total Spaces, None, Parking Lot, Off Street Parking",1903,3,,121910,,270000,3034,D,,,314.55,Yes,Monthly,No,Norwalk,Silvermine,"Commuter Bus, Library, Medical Facilities, Playground/Tot Lot, Shopping/Mall",No,No,Beach Rights,,Wall Unit,Heat Pump,Electric,,,,,,
