Image,MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
https://smartmls-assets.cdn-connectmls.com/pics/10B7D5EE225068EBE063D501100A38DB/HD_1707242589617_170614856_1.JPEG,170614856,"66  High St. , Unit# 46",Guilford,ACTV,03/30/2024,CO,,2036,2036,5,2,2/0,"2 Car Garage, Attached Garage, Parking Garage, Assigned Parking",2023,116,"Exercise Room/Health Club, Guest Parking, Pool",0,,1400000,0,RES,"Hallways 36+ Inches Wide, Handicap Parking, Roll-In Shower",,1142,Yes,Monthly,No,Guilford,Per Board of Ed,"Library, Public Transportation, Shopping/Mall",Yes,Yes,"Direct Waterfront, Water Community, View",03/30/2024,Central Air,Hot Air,Natural Gas,,"Balcony, Covered Deck, Gutters, Lighting, Sidewalk, Underground Sprinkler, Underground Utilities",,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/150B13AC726CE438E063D501100A6D5A/HD_1711985283279_5_web_or_mls_2B8A3407.JPEG,24007154,"1  Maple St. , Unit# 26",Ellington,NEW,04/06/2024,CO,,1420,960,5,2,1/1,"0 Car Garage, 2 Total Spaces, None, Assigned Parking, Driveway",1988,2,,85200,,213000,2922,C,,,210,Yes,Monthly,No,Ellington,Per Board of Ed,"Golf Course, Health Club, Library, Park",No,No,Not Applicable,,"Wall Unit, Window Unit",Baseboard,Electric,,"Sidewalk, Deck",,,,
https://smartmls-assets.cdn-connectmls.com/pics/0CD06002E0080CC8E063D501100A291D/HD_1702951484210_170615464_1.JPEG,170615464,"940  Wethersfield Ave. , Unit# 2",Hartford,ACTV,12/18/2023,CO,,654,654,4,2,1/0,"0 Car Garage, 1 Total Spaces, Assigned Parking",1958,111,,15472,,95000,1067,NX-1,,,400,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Wall Unit,Baseboard,Natural Gas,Per Board of Ed,,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/0E36B768AD7C236AE0631401100A3207/HD_1704476525034_170616489_5.JPEG,170616489,"100  Wells St. , Unit# R511",Hartford,ACTV,04/03/2024,CO,,734,734,3,1,1/0,"1 Car Garage, Parking Garage",1978,100,"Elevator, Exercise Room/Health Club, Security Services",29400,,165000,2027,DT-2,,,412,Yes,Monthly,Yes,Per Board of Ed,Per Board of Ed,"Library, Medical Facilities, Park, Public Transportation, Walk to Bus Lines",No,No,Not Applicable,04/03/2024,Central Air,Hot Air,Electric,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/0C9D6C9AD2C80C5BE0631401100AE195/HD_1702745557063_170615232_1.JPEG,170615232,"1  Strawberry Hill Ct. , Unit# 5H",Stamford,ACTV,03/22/2024,CO,,1646,1646,5,3,2/1,"1 Car Garage, 1 Total Spaces, Parking Garage, Off Street Parking, Assigned Parking",1969,114,"Elevator, Guest Parking, Security Services",254530,,419900,6424,R5,,,1054,Yes,Monthly,No,Westhill,Stillmeadow,"Commuter Bus, Health Club, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,,"Wall Unit, Zoned","Hot Water, Radiator, Wall Unit, Zoned",Natural Gas,,Balcony,Cloonan,,,
https://smartmls-assets.cdn-connectmls.com/pics/0CD06002E0080CC8E063D501100A291D/HD_1702993685629_170614683_1.JPEG,170614683,"30  Timberwood Rd. , Unit# 30",West Hartford,ACTV,12/18/2023,CO,,1950,1650,5,2,2/1,"2 Car Garage, Detached Garage",1986,111,,155190,,395000,6350,"R-13,R",,,630,Yes,Monthly,No,Hall,Aiken,,No,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,,King Philip,,,
https://smartmls-assets.cdn-connectmls.com/pics/09BCDD40B60A12E9E0631401100A2AD0/HD_1699558322884_170609616_1.JPEG,170609616,"66  High St. , Unit# 49",Guilford,ACTV,11/09/2023,CO,,2109,2109,5,3,2/1,"2 Car Garage, Attached Garage, Parking Garage, Assigned Parking",2023,150,"Exercise Room/Health Club, Guest Parking, Pool",0,,2500000,0,RES,"Hallways 36+ Inches Wide, Handicap Parking, Roll-In Shower",,1142,Yes,Monthly,No,Guilford,Per Board of Ed,"Library, Public Transportation, Shopping/Mall",Yes,Yes,"Direct Waterfront, Water Community, View",11/09/2023,Central Air,Hot Air,Natural Gas,,"Balcony, Gutters, Lighting, Sidewalk, Underground Sprinkler, Underground Utilities",,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/08D927A7F4C6CABEE0631401100AC52B/HD_1698584687203_170607311_1.JPEG,170607311,"18  Village Cir. , Unit# 18",Guilford,ACTV,11/10/2023,CO,,2197,2197,5,2,2/1,"2 Car Garage, Under House Garage",2024,149,,0,,809900,0,R1,,,0,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Library, Park, Public Pool, Tennis Courts, Walk to Bus Lines",No,No,Not Applicable,,Central Air,Hot Water,Propane,,"Garden Area, Gutters, Lighting",,,,
https://smartmls-assets.cdn-connectmls.com/pics/0CA9786B26C3087DE063D501100A866F/HD_1702782602495_170615274_1.JPEG,170615274,"1515  Summer St. , Unit# 706",Stamford,ACTV,03/25/2024,CO,,1819,1819,5,3,2/0,"2 Car Garage, Parking Garage",1968,113,"Club House, Elevator, Exercise Room/Health Club, Guest Parking",480050,,647000,12116,MXD,Hard/Low Nap Floors,"Programmable Thermostat, Thermopane Windows",1549,Yes,Monthly,No,Westhill,Davenport Ridge,"Basketball Court, Golf Course, Health Club, Library, Park, Public Transportation, Shopping/Mall, Tennis Courts",No,No,,03/25/2024,"Central Air, Heat Pump","Heat Pump, Hot Air",Electric,,"Sidewalk, Lighting",Cloonan,,,
https://smartmls-assets.cdn-connectmls.com/pics/DE10B827BFF44A40E053D501100A26C0/HD_1651534456294_170179279_1.JPEG,24008133,"594  Prospect St. , Unit# APT B2",New Haven,NEW,04/06/2024,CO,,1860,1860,5,2,2/0,"1 Car Garage, Under House Garage",1927,2,,216160,,375000,8041,RM2,,,571.32,Yes,Monthly,No,Per Board of Ed,Worthington Hooker,"Park, Private School(s), Walk to Bus Lines",No,No,Not Applicable,,None,Hot Water,Natural Gas,,Sidewalk,Worthington Hooker,,,
