MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
170609346,66  Ridge St.,Greenwich,ACTV,11/09/2023,,0.36,7502,7502,15,5,6/1,"2 Car Garage, Attached Garage",1907,110,,915040,"Private, Paved",7295000,10647,R-6,,,,No,,No,Greenwich,Julian Curtiss,,Yes,No,Not Applicable,,Central Air,Hydro Air,Gas In Street,,Balcony,Central,,,
170357537,"180  Park St. , Unit# 304",New Canaan,ACTV,12/01/2020,CO,,1236,1236,4,2,2/0,"2 Car Garage, Assigned Parking, Parking Garage, Security",2020,1183,"Club House, Elevator, Exercise Room/Health Club, Guest Parking, Private Rec Facilities, Putting Green",798490,,1555000,15123,APT,,"Programmable Thermostat, Thermopane Windows",1086,Yes,Monthly,No,New Canaan,South,"Library, Paddle Tennis, Park, Private Rec Facilities, Public Pool, Public Rec Facilities, Tennis Courts",No,No,Not Applicable,,"Central Air, Zoned","Gas on Gas, Zoned",Natural Gas,,"Balcony, French Doors, Garden Area, Grill, Lighting, Sidewalk, Terrace",Saxe Middle,,,
170624263,11  Valley Rd.,Thompson,ACTV,02/12/2024,,1.09,2469,1768,8,4,2/1,"0 Car Garage, 6 Total Spaces, Paved",1976,15,,173300,Paved,379000,4506,R40,,,,No,,No,Per Board of Ed,Per Board of Ed,,Yes,No,Not Applicable,02/17/2024,None,Hot Water,Oil,,"Deck, Porch, Sidewalk",,Above Ground Pool,,
24000043,"100  Songbird Ln. , Unit# 100",Farmington,NEW,02/28/2024,CO,,1224,1224,4,2,2/1,"1 Car Garage, Attached Garage",1983,0,,127960,,275000,3098,RDM,,,316,Yes,Monthly,No,Farmington,Per Board of Ed,"Golf Course, Health Club, Library, Park, Private School(s), Public Transportation",No,No,,,Central Air,Hot Air,Natural Gas,,"Balcony, Deck, Gutters",,,1560,
170609647,293  Benham Hill Rd.,West Haven,ACTV,11/29/2023,,0.62,1286,1286,7,3,1/2,"1 Car Garage, Attached Garage",1960,90,,165550,Paved,329900,7466,R2,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,11/29/2023,None,Hot Water,Natural Gas,,,,,,
24000048,"61 S. Main St. , Unit# APT 506",Griswold,NEW,02/27/2024,CO,,1828,1240,6,4,3/0,"0 Car Garage, None",2014,1,Playground/Tot Lot,140910,,259900,4081,BRM,,,250,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Golf Course, Lake, Playground/Tot Lot, Shopping/Mall, Walk to Bus Lines",No,No,,,Central Air,Hot Air,Electric,,,,,,
170625906,7 S. Crossway,Greenwich,NEW,02/21/2024,,0.43,5560,5560,10,6,4/1,"1 Car Garage, Attached Garage",1905,6,,2895900,,5995000,33697,R-20,,,1450,Yes,Annually,No,Greenwich,Old Greenwich,,No,No,"Dock or Mooring, Beach Rights, View, Walk to Water",,Central Air,Hydro Air,Natural Gas,,"Balcony, Covered Deck, French Doors, Garden Area, Porch, Terrace, Underground Sprinkler",Eastern,,,
170560408,"23  Sallys Way. , Unit# 26",Shelton,ACTV,04/10/2023,CO,,1551,1551,5,2,2/1,"1 Car Garage, Attached Garage, Paved",2023,326,,0,,519000,0,IA-2,,"Extra Insulation, Programmable Thermostat, Ridge Vents, Thermopane Windows",157,Yes,Monthly,No,Shelton,Long Hill,,No,No,Not Applicable,,Central Air,Gas on Gas,Gas In Street,,"Deck, Porch",,,,
170606883,72  Stepstone Hill Rd.,Guilford,ACTV,02/13/2024,,2.32,4647,3647,14,5,5/1,"4 Car Garage, 15 Total Spaces, Attached Garage",1986,124,None,526120,"Private, Asphalt",649900,13616,R-5I,,,,No,,No,Guilford,Per Board of Ed,Golf Course,No,No,Not Applicable,11/29/2023,Central Air,Hot Air,Propane,,"Deck, Porch",,,,
24000127,"812  Village Rd. , Unit# 812",Southington,NEW,02/28/2024,CO,,1726,1226,4,2,2/0,"1 Car Garage, 3 Total Spaces, Attached Garage, Paved, Driveway",1998,2,"Bocci Court, Club House, Gardening Area, Pool, Tennis Courts",142020,,289000,4312,R-20/2,,,304,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,Yes,No,,,Central Air,Hot Air,Natural Gas,Per Board of Ed,Patio,Per Board of Ed,In Ground Pool,,
